10	34	0	63
37	20	1	76
38	45	1	107
33	51	1	91
37	46	1	79
37	51	1	64
33	48	1	106
37	27	1	62
7	21	0	15
44	48	1	86
13	20	0	79
36	49	1	79
6	20	0	18
1	20	0	62
1	37	0	71
11	29	0	59
40	45	1	68
34	49	1	70
39	24	1	71
38	23	1	95
15	20	0	54
1	24	0	65
49	53	1	100
9	27	0	65
36	50	1	102
40	40	1	72
32	53	1	105
5	35	0	65
41	34	1	58
35	52	1	100
34	53	1	72
32	23	1	73
38	50	1	72
8	33	0	15
45	43	1	104
8	20	0	68
39	42	1	65
6	24	0	64
36	23	1	75
9	29	0	61
30	37	1	74
43	43	1	103
35	24	1	91
32	25	1	69
40	50	1	103
6	20	0	24
7	27	0	71
1	20	0	34
34	48	1	70
4	26	0	73
8	30	0	52
5	20	0	65
12	20	0	59
23	53	1	58
34	50	1	57
8	27	0	64
11	47	1	78
38	51	1	74
8	38	0	54
42	45	1	107
10	28	0	62
9	24	0	15
30	53	1	71
4	20	0	65
9	26	0	18
32	59	1	104
34	49	1	103
28	30	1	112
28	47	1	72
33	49	1	67
7	26	0	56
44	50	1	62
32	45	1	78
80	40	1	74
36	49	1	112
8	31	0	24
45	53	1	77
11	34	0	18
45	53	1	112
5	20	0	66
39	45	1	59
8	20	0	68
35	56	1	72
3	28	0	57
45	31	1	76
7	20	0	72
33	49	1	103
43	37	1	77
4	22	0	65
26	51	1	67
3	20	0	69
5	30	0	80
36	20	1	94
41	20	1	70
8	29	0	64
4	21	0	65
36	47	1	82
14	25	0	56
29	46	1	68
40	54	1	81
32	20	1	73
7	24	0	65
35	43	1	107
43	44	1	112
3	20	0	75
29	26	1	69
35	46	1	75
5	20	0	34
39	42	1	66
39	43	1	74
41	50	1	67
3	32	0	69
38	50	1	109
38	31	1	59
80	50	1	105
8	25	0	67
7	47	0	66
37	47	1	92
42	54	1	78
43	28	1	74
32	52	1	67
34	52	1	76
7	43	1	54
8	32	0	58
32	57	1	63
39	44	1	112
45	60	1	107
40	37	1	103
43	57	1	103
10	28	0	15
46	43	1	99
11	23	0	59
80	31	1	71
33	60	1	70
6	20	0	75
40	46	1	112
39	51	1	106
37	48	1	77
8	52	0	62
41	51	1	110
9	26	0	69
40	49	1	60
64	40	1	112
43	45	1	60
36	49	1	61
13	29	0	56
38	43	1	74
44	56	1	69
46	51	1	101
44	36	1	92
39	23	1	74
41	58	1	62
27	31	1	74
44	49	1	69
15	24	0	62
28	48	1	98
30	55	1	73
37	43	1	75
35	50	1	67
36	56	1	75
7	26	0	61
6	33	0	51
10	42	0	76
33	46	1	64
42	38	1	67
42	54	1	99
42	40	1	99
9	25	0	57
6	20	0	68
42	43	1	53
43	40	1	104
29	47	1	101
7	20	0	66
5	20	0	59
7	20	0	31
1	20	0	71
43	27	1	112
11	37	0	69
10	20	0	61
42	38	1	78
38	45	1	70
5	20	0	76
37	46	1	64
42	45	1	90
33	47	1	73
5	39	1	79
38	37	1	85
35	49	1	79
7	29	0	74
9	44	0	62
33	42	1	100
39	25	1	112
5	20	0	72
11	21	0	33
13	35	0	61
41	52	1	82
9	23	0	71
40	50	1	71
36	60	1	103
42	60	1	95
42	50	1	75
5	20	0	64
40	46	1	104
45	57	1	98
3	29	0	67
36	37	1	60
13	20	0	55
3	20	0	68
28	53	1	75
30	27	1	67
42	46	1	104
39	40	1	88
12	31	0	19
6	20	0	51
39	51	1	76
10	23	0	21
1	25	0	69
10	20	0	60
28	50	1	101
8	20	0	66
45	30	1	81
35	23	1	83
35	28	1	65
33	44	1	99
2	20	0	75
